第1条评论:   “满纸荒唐中窥见满脸沧桑 / 触到神经就要懂得鼓掌
第443条评论:   万惊了。还记得这首歌是初中同桌推荐给我的。那些年我们听许嵩，许巍，朴树，是闪光的时光啊

第444条评论:   这歌估计是我列表里的歌最多评论的一首

第445条评论:   暖煖煗

第446条评论:   的时代回不去了

第447条评论:   陌上颜如玉

第448条评论:   陌上颜如玉，公子世无双

第449条评论:   多年以后听还这么好听

第450条评论:   哪有那么多热情

第451条评论:   永不忘却的你

第452条评论:   稳的一匹

第453条评论:   账号暂时没有被注销

第454条评论:   这首歌评论数是网易云第一吧

第455条评论:   比晴天还多了

第456条评论:   方长君

第457条评论:   入鞘还家你莞尔沏来春涧草茶

第458条评论:   你觉得不能这没有问题，可你不能觉得许嵩也不喜欢，没有人能代替许嵩发声。

第459条评论:   如果你看过先生的专访，就知道他喜不喜欢了，我对抖音什么的都进行说明了，自己去看吧

第460条评论:   生活充满了雅俗共赏。

第461条评论:   嘚啵嘚啵嘚略略略

第462条评论:   三百万努努力

第463条评论:   爱谁谁

第464条评论:   小雅俗我来啦

第465条评论:   张新成国服迷弟

第466条评论:   腐竹太好吃了

第467条评论:   雅俗共赏这首歌是许嵩的招牌，也俨然成了云村的镇村之宝。云村不想要一个灌水的招牌，我们也不想要一个灌水的许嵩。

第468条评论:    我擦

第469条评论:   海海海海浪啊

第470条评论:   这歌倒是听了好几年，但是这评论量我是头一次发现

第471条评论:   稚嫩大叔的喵

第472条评论:   小学初中

第473条评论:   因为林夕

第474条评论:   叫我牧吧

第475条评论:   第一首歌素颜，感谢大哥让我知道了自己五音不全的事实

第476条评论:   多多捂脸

第477条评论:   醉眼笑她

第478条评论:   李霖森

第479条评论:   如梦令

第480条评论:   我又来了再发一遍，为

第481条评论:   万添砖加瓦

第482条评论:   多多大笑

第483条评论:   伍伵六

第484条评论:   然后你跟那个男的在一起了

第485条评论:   总会回来多听几遍这熟悉的旋律

第486条评论:   挤一挤

第487条评论:   陶华碧的男人

第488条评论:   我的天啊

第489条评论:   幻季之雨

第490条评论:   很好听

第491条评论:   苦海离某人

第492条评论:   的肉嵩包

第493条评论:   小雅俗

第494条评论:   万楼主

第495条评论:   我们学校今天的广播放了肉嵩的雅俗共赏哟，是我点哒，刚好下午是我广播，和我一起广播的男生也喜欢许嵩耶，我们俩在广播室里跟唱啦，高兴得飞起

第496条评论:   一切都是最好的安排

第497条评论:   安排上了

第498条评论:   许嵩多大啦

第499条评论:   中华小曲库

第500条评论:   网易云看到的第一个一百万

第501条评论:   评论举爪

第502条评论:   非凡孤单

第503条评论:   凑个热闹

第504条评论:   雨落归汐

第505条评论:   评论是什么情况。。。

第506条评论:   来睡觉觉

第507条评论:   第一次见网易云评论过百万的歌，点开和发现，是过两百万了

第508条评论:   超好听

第509条评论:   吴所谓成熟

第510条评论:   评论越来越多了爱

第511条评论:   冲三百万

第512条评论:   現實俱樂部

第513条评论:   冲冲冲

第514条评论:   许嵩我大哥。

